Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
531,0.539,0.539,0,0,0,0,
532,0.531,0.531,0,0,0,0,
533,0.588,0.588,0,0,0,0,
534,0.806,0.806,0,0,0,0,
535,1.124,1.124,0,0,0,0,
536,1.044,1.044,0.432,0,-0.432,0,
537,0.836,0.372767,1.41,0.463233,-0.922386,0,
538,0.841,-0.8405,1.77,1.6815,0,0,
539,0.835,-0.9776,1.908,1.8126,0,0,
540,0.798,-0.969,1.86,1.767,0,0,
541,0.779,-2.47,3.42,3.249,0,0,
542,0.772,-2.0324,2.952,2.8044,0,0,
543,0.808,-1.2383,2.154,2.0463,0,0,
544,0.948,-0.3117,1.326,1.2597,0,0,
545,1.272,-2.22045e-016,0.132,1.272,1.20695,0,
546,1.66,1.66,0,0,0,0,
547,1.867,1.867,0,0,0,0,
548,1.832,5.132,0,0,0,3.3,
549,1.605,4.905,0,0,0,3.3,
550,1.318,4.618,0,0,0,3.3,
551,1.027,3.75858,0,0,0,2.73158,
552,0.728,0.728,0,0,0,0,
553,0.625,0.625,0,0,0,0,
554,0.596,0.596,0,0,0,0,
555,0.588,0.588,0,0,0,0,
556,0.578,0.578,0,0,0,0,
557,0.639,0.639,0,0,0,0,
558,0.871,0.871,0,0,0,0,
559,1.173,1.173,0,0,0,0,
560,1.071,1.071,0.726,0,-0.726,0,
561,0.849,-0.2425,1.764,1.0915,-0.615053,0,
562,0.839,-1.6006,2.568,2.4396,0,0,
563,0.818,-2.2771,3.258,3.0951,0,0,
564,0.783,-2.5287,3.486,3.3117,0,0,
565,0.779,-2.4358,3.384,3.2148,0,0,
566,0.772,-1.9241,2.838,2.6961,0,0,
567,0.808,-1.2725,2.19,2.0805,0,0,
568,0.948,-0.3573,1.374,1.3053,0,0,
569,1.272,0,0.144,1.272,1.19495,0,
570,1.66,1.66,0,0,0,0,
571,1.867,1.867,0,0,0,0,
572,1.83,5.13,0,0,0,3.3,
573,1.596,4.896,0,0,0,3.3,
574,1.304,4.604,0,0,0,3.3,
575,1.01,3.74158,0,0,0,2.73158,
576,0.711,0.711,0,0,0,0,
577,0.616,0.616,0,0,0,0,
578,0.576,0.576,0,0,0,0,
579,0.568,0.568,0,0,0,0,
580,0.563,0.563,0,0,0,0,
581,0.627,0.627,0,0,0,0,
582,0.843,0.843,0,0,0,0,
583,1.149,1.149,0,0,0,0,
584,1.049,1.049,0.798,0,-0.798,0,
585,0.826,-0.397867,1.818,1.22387,-0.529719,0,
586,0.809,-1.7389,2.682,2.5479,0,0,
587,0.809,-2.1949,3.162,3.0039,0,0,
588,0.783,-2.5287,3.486,3.3117,0,0,
589,0.779,-2.4985,3.45,3.2775,0,0,
590,0.772,-1.9868,2.904,2.7588,0,0,
591,0.808,-1.2212,2.136,2.0292,0,0,
592,0.948,-0.3402,1.356,1.2882,0,0,
593,1.272,0,0.15,1.272,1.18895,0,
594,1.66,1.66,0,0,0,0,
595,1.867,1.867,0,0,0,0,
596,1.83,5.13,0,0,0,3.3,
597,1.596,4.896,0,0,0,3.3,
598,1.295,4.595,0,0,0,3.3,
599,0.994,3.72558,0,0,0,2.73158,
600,0.692,0.692,0,0,0,0,
601,0.585,0.585,0,0,0,0,
602,0.555,0.555,0,0,0,0,
603,0.553,0.553,0,0,0,0,
604,0.549,0.549,0,0,0,0,
605,0.603,0.603,0,0,0,0,
606,0.83,0.83,0,0,0,0,
607,1.149,1.149,0,0,0,0,
608,1.067,1.067,0.768,0,-0.768,0,
609,0.857,-0.3732,1.848,1.2302,-0.553053,0,
610,0.851,-1.6741,2.658,2.5251,0,0,
611,0.862,-2.1761,3.198,3.0381,0,0,
612,0.831,-2.4807,3.486,3.3117,0,0,
613,0.823,-2.0897,3.066,2.9127,0,0,
614,0.809,-1.9897,2.946,2.7987,0,0,
615,0.848,-1.3408,2.304,2.1888,0,0,
616,0.984,-0.2244,1.272,1.2084,0,0,
617,1.308,0,0.15,1.308,1.22684,0,
618,1.695,1.695,0,0,0,0,
619,1.902,1.902,0,0,0,0,
