Time step,Total load requested [kW],Total load served [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
346,104.16,104.16,0,0,0,0,0,0,0,0,0,0,
347,103.54,103.54,0,0,0,0,0,0,0,0,0,0,
348,97.836,97.836,0,0,0,0,0,0,0,0,0,0,
349,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
350,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
351,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
352,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
353,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
354,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
355,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
356,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
357,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
358,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
359,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
360,84.444,84.444,0,0,0,0,0,0,0,0,2976,100,
361,71.424,71.424,0,0,0,0,0,0,0,0,2976,100,
362,66.464,66.464,0,0,0,0,0,0,0,0,2976,100,
363,65.348,65.348,0,0,0,0,0,0,0,0,2976,100,
364,64.604,64.604,0,0,0,0,0,0,0,0,0,0,
365,71.3,71.3,0,0,0,0,0,0,0,0,0,0,
366,97.96,97.96,0,0,0,0,0,0,0,0,0,0,
367,137.02,137.02,0,0,0,0,0,0,0,0,0,0,
368,127.224,127.224,0,0,0,0,0,0,0,0,0,0,
369,103.292,103.292,0,0,0,0,0,0,0,0,0,0,
370,103.912,103.912,0,0,0,0,0,0,0,0,0,0,
371,102.424,102.424,0,0,0,0,0,0,0,0,0,0,
372,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
373,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
374,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
375,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
376,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
377,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
378,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
379,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
380,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
381,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
382,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
383,124.744,124.744,0,0,0,0,0,0,0,338.716,2976,100,
384,87.172,87.172,0,0,0,0,0,0,0,0,2976,100,
