Time step,Grid total load,Grid net load,s1 total load,
677,74.152,74.152,74.152,
678,101.06,101.06,101.06,
679,139.872,139.872,139.872,
680,129.952,129.952,129.952,
681,105.772,105.772,105.772,
682,106.268,106.268,106.268,
683,103.54,103.54,103.54,
684,97.464,97.464,97.464,
685,96.596,96.596,96.596,
686,95.728,95.728,95.728,
687,100.192,100.192,100.192,
688,117.552,117.552,117.552,
689,157.728,157.728,157.728,
690,205.84,205.84,205.84,
691,231.508,231.508,231.508,
692,226.92,636.12,636.12,
693,197.904,607.104,607.104,
694,161.324,570.524,570.524,
695,125.24,463.956,463.956,
696,87.296,87.296,87.296,
697,75.02,75.02,75.02,
698,69.936,69.936,69.936,
699,70.06,70.06,70.06,
700,69.44,69.44,69.44,
701,76.384,76.384,76.384,
702,104.16,104.16,104.16,
703,143.096,143.096,143.096,
704,133.424,133.424,133.424,
705,109.988,109.988,109.988,
706,111.352,111.352,111.352,
707,110.36,110.36,110.36,
708,105.648,105.648,105.648,
709,101.308,101.308,101.308,
710,97.712,97.712,97.712,
711,101.804,101.804,101.804,
712,118.792,118.792,118.792,
713,162.192,162.192,162.192,
714,208.444,208.444,208.444,
715,234.484,234.484,234.484,
716,230.64,639.84,639.84,
717,202.988,612.188,612.188,
718,167.276,576.476,576.476,
719,131.192,469.908,469.908,
720,94.364,94.364,94.364,
721,81.468,81.468,81.468,
722,76.88,76.88,76.88,
723,76.508,76.508,76.508,
724,75.516,75.516,75.516,
725,82.46,82.46,82.46,
726,110.732,110.732,110.732,
727,148.304,148.304,148.304,
728,135.78,135.78,135.78,
729,108.004,108.004,108.004,
730,107.508,107.508,107.508,
731,104.036,104.036,104.036,
732,98.332,98.332,98.332,
733,96.596,96.596,96.596,
734,95.728,95.728,95.728,
735,100.192,100.192,100.192,
736,117.552,117.552,117.552,
737,158.348,158.348,158.348,
738,205.84,205.84,205.84,
739,232.004,232.004,232.004,
740,228.656,637.856,637.856,
741,200.384,609.584,609.584,
742,164.3,573.5,573.5,
743,127.968,466.684,466.684,
744,89.9,89.9,89.9,
745,76.26,76.26,76.26,
746,70.556,70.556,70.556,
747,68.572,68.572,68.572,
748,67.084,67.084,67.084,
749,73.036,73.036,73.036,
750,97.836,97.836,97.836,
751,132.804,132.804,132.804,
752,119.908,119.908,119.908,
753,95.976,95.976,95.976,
754,95.852,95.852,95.852,
755,97.092,97.092,97.092,
756,93.868,93.868,93.868,
757,93.372,93.372,93.372,
758,92.256,92.256,92.256,
759,95.852,95.852,95.852,
760,109.864,109.864,109.864,
761,142.972,142.972,142.972,
762,185.38,185.38,185.38,
763,213.28,213.28,213.28,
764,215.76,624.96,624.96,
