Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
183,0.808,0.808,326,51.3629,274.637,0.398332,326,1.63,1.63,1.5485,0,0,0,7.4815,0,10,100,0,0,0,
184,0.948,0.948,187,18.6874,168.313,0.353795,187,0.935,0.997895,0.948,0.0628947,0,0,7.4815,0.0628947,9.93443,99.3443,0,0,0,
185,1.272,1.272,4,0.00710497,3.9929,0.019736,4,0.02,1.33895,1.272,1.31895,0.0683638,0,7.4186,1.31895,8.55933,85.5933,0,0,0,
186,1.66,1.66,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,0,0,0,
187,1.867,1.867,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,0,11.5,50,
188,1.83,1.83,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,3.3,14.635,63.6304,
189,1.596,1.596,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,3.3,17.77,77.2609,
190,1.295,1.295,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,3.3,20.905,90.8913,
191,0.994,0.994,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,2.20526,23,100,
192,0.679,0.679,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,0,23,100,
193,0.566,0.566,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,0,23,100,
194,0.519,0.519,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,0,23,100,
195,0.504,0.504,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,0,23,100,
196,0.491,0.491,0,0,0,0,0,0,0,0,0,1.502,0,6.09966,0,8.55933,85.5933,0,0,0,
