Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
565,-1.9,0.779,2.82,2.679,0,0,
566,-1.47475,0.772,2.365,2.24675,0,0,
567,-0.92575,0.808,1.825,1.73375,0,0,
568,-0.13975,0.948,1.145,1.08775,0,0,
569,-2.22045e-016,1.272,0.12,1.272,1.21895,0,
570,1.66,1.66,0,0,0,0,
571,1.867,1.867,0,0,0,0,
572,5.13,1.83,0,0,0,3.3,
573,4.896,1.596,0,0,0,3.3,
574,4.604,1.304,0,0,0,3.3,
575,3.21526,1.01,0,0,0,2.20526,
576,0.711,0.711,0,0,0,0,
577,0.616,0.616,0,0,0,0,
578,0.576,0.576,0,0,0,0,
579,0.568,0.568,0,0,0,0,
580,0.563,0.563,0,0,0,0,
581,0.627,0.627,0,0,0,0,
582,0.843,0.843,0,0,0,0,
583,1.149,1.149,0,0,0,0,
584,1.049,1.049,0.665,0,-0.665,0,
585,0.0136957,0.826,1.515,0.812304,-0.659943,0,
586,-1.31425,0.809,2.235,2.12325,0,0,
587,-1.69425,0.809,2.635,2.50325,0,0,
588,-1.97675,0.783,2.905,2.75975,0,0,
589,-1.95225,0.779,2.875,2.73125,0,0,
590,-1.527,0.772,2.42,2.299,0,0,
591,-0.883,0.808,1.78,1.691,0,0,
592,-0.1255,0.948,1.13,1.0735,0,0,
593,0,1.272,0.125,1.272,1.21395,0,
594,1.66,1.66,0,0,0,0,
595,1.867,1.867,0,0,0,0,
596,5.13,1.83,0,0,0,3.3,
597,4.896,1.596,0,0,0,3.3,
598,4.595,1.295,0,0,0,3.3,
599,3.19926,0.994,0,0,0,2.20526,
600,0.692,0.692,0,0,0,0,
601,0.585,0.585,0,0,0,0,
602,0.555,0.555,0,0,0,0,
603,0.553,0.553,0,0,0,0,
604,0.549,0.549,0,0,0,0,
605,0.603,0.603,0,0,0,0,
606,0.83,0.83,0,0,0,0,
607,1.149,1.149,0,0,0,0,
608,1.067,1.067,0.64,0,-0.64,0,
609,0.0395326,0.857,1.54,0.817467,-0.679508,0,
610,-1.25325,0.851,2.215,2.10425,0,0,
611,-1.66975,0.862,2.665,2.53175,0,0,
612,-1.92875,0.831,2.905,2.75975,0,0,
613,-1.60425,0.823,2.555,2.42725,0,0,
614,-1.52325,0.809,2.455,2.33225,0,0,
615,-0.976,0.848,1.92,1.824,0,0,
616,-0.023,0.984,1.06,1.007,0,0,
617,0,1.308,0.125,1.308,1.25184,0,
618,1.695,1.695,0,0,0,0,
619,1.902,1.902,0,0,0,0,
620,5.166,1.866,0,0,0,3.3,
621,4.931,1.631,0,0,0,3.3,
622,4.624,1.324,0,0,0,3.3,
623,3.21526,1.01,0,0,0,2.20526,
