Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
156,0.783,0.783,535,96.7885,438.211,0.413674,1.04949,2.675,0,2.54125,0,0,8.43274,0,0,0,200,0.2,0,0,
157,0.779,0.779,419,38.0553,380.945,0.345395,0.572747,2.095,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
158,0.772,0.772,331,20.7635,310.236,0.315152,1.11442,1.655,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
159,0.808,0.808,327,52.6982,274.302,0.400774,1.16643,1.635,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
160,0.948,0.948,176,14.0749,161.925,0.33462,1.67004,0.88,0,0.948,0,0,8.43274,0,0,0,200,0.2,0,0,
161,1.272,1.272,3,0.00404648,2.99595,0.014987,1.47356,0.015,0,1.272,0,0.130994,8.43274,0,0,0,200,0.2,0,0,
162,1.66,1.66,0,0,0,0,1.67805,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,0,0,
163,1.867,1.867,0,0,0,0,1.93977,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,12,50,
164,1.83,1.83,0,0,0,0,2.20149,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,15.135,63.0625,
165,1.596,1.596,0,0,0,0,2.46322,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,18.27,76.125,
166,1.295,1.295,0,0,0,0,2.72494,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,21.405,89.1875,
167,0.994,0.994,0,0,0,0,2.98666,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,24,100,
168,0.679,0.679,0,0,0,0,90,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,24,100,
169,0.566,0.566,0,0,0,0,90,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,24,100,
170,0.526,0.526,0,0,0,0,90,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,24,100,
171,0.525,0.525,0,0,0,0,90,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,24,100,
172,0.522,0.522,0,0,0,0,90,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,0,0,
173,0.582,0.582,0,0,0,0,90,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,0,0,
174,0.808,0.808,0,0,0,0,90,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,0,0,
175,1.123,1.123,0,0,0,0,90,0,0,0,0,1.60205,8.43274,0,0,0,200,0.2,0,0,
176,1.022,1.022,113,1.499,111.501,0.147394,90,0.565,0,0,0,1.60205,8.43274,0,0,0,200,0.2,0,0,
177,0.803,0.803,279,10.2881,268.712,0.275483,90,1.395,0,0.340056,0,1.03705,8.43274,0,0,0,200,0.2,0,0,
178,0.8,0.8,404,34.2551,369.745,0.33952,90,2.02,0,1.919,0,0,8.43274,0,0,0,200,0.2,0,0,
179,0.809,0.809,503,74.0358,428.964,0.391126,90,2.515,0,2.38925,0,0,8.43274,0,0,0,200,0.2,0,0,
180,0.783,0.783,540,100.663,439.337,0.41713,0.246719,2.7,0,2.565,0,0,8.43274,0,0,0,200,0.2,0,0,
181,0.779,0.779,500,88.79,411.21,0.411552,2.2052,2.5,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
182,0.772,0.772,452,93.4249,358.575,0.429448,2.50792,2.26,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
183,0.808,0.808,326,51.3629,274.637,0.398332,1.58866,1.63,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
184,0.948,0.948,187,18.6874,168.313,0.353795,1.27411,0.935,0,0.948,0,0,8.43274,0,0,0,200,0.2,0,0,
185,1.272,1.272,4,0.00710497,3.9929,0.019736,1.57738,0.02,0,1.272,0,0.069883,8.43274,0,0,0,200,0.2,0,0,
186,1.66,1.66,0,0,0,0,1.67623,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,0,0,
187,1.867,1.867,0,0,0,0,1.93795,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,12,50,
188,1.83,1.83,0,0,0,0,2.19968,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,15.135,63.0625,
189,1.596,1.596,0,0,0,0,2.4614,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,18.27,76.125,
190,1.295,1.295,0,0,0,0,2.72313,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,21.405,89.1875,
191,0.994,0.994,0,0,0,0,2.98485,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,24,100,
192,0.679,0.679,0,0,0,0,90,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,24,100,
193,0.566,0.566,0,0,0,0,90,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,24,100,
194,0.519,0.519,0,0,0,0,90,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,24,100,
195,0.504,0.504,0,0,0,0,90,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,24,100,
196,0.491,0.491,0,0,0,0,90,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,0,0,
197,0.544,0.544,0,0,0,0,90,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,0,0,
198,0.759,0.759,0,0,0,0,90,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,0,0,
199,1.08,1.08,0,0,0,0,90,0,0,0,0,1.53538,8.43274,0,0,0,200,0.2,0,0,
