Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
592,-0.326878,0.948,1.34198,1.27488,0,0,
593,0,1.272,0.1499,1.272,1.18905,0,
594,1.66,1.66,0,0,0,0,
595,1.867,1.867,0,0,0,0,
596,5.13,1.83,0,0,0,3.3,
597,4.896,1.596,0,0,0,3.3,
598,4.595,1.295,0,0,0,3.3,
599,3.72558,0.994,0,0,0,2.73158,
600,0.692,0.692,0,0,0,0,
601,0.585,0.585,0,0,0,0,
602,0.555,0.555,0,0,0,0,
603,0.553,0.553,0,0,0,0,
604,0.549,0.549,0,0,0,0,
605,0.603,0.603,0,0,0,0,
606,0.83,0.83,0,0,0,0,
607,1.149,1.149,0,0,0,0,
608,1.067,1.067,0,0,0,0,
609,0.857,0.857,0,0,0,0,
610,0.851,0.851,0,0,0,0,
611,0.862,0.862,0,0,0,0,
612,0.831,0.831,0,0,0,0,
613,-0.110592,0.823,2.30389,0.933592,-1.32116,0,
614,-1.69877,0.809,2.63975,2.50777,0,0,
615,-1.33735,0.848,2.30037,2.18535,0,0,
616,-0.214336,0.984,1.26141,1.19834,0,0,
617,0,1.308,0.149896,1.308,1.22695,0,
618,1.695,1.695,0,0,0,0,
619,1.902,1.902,0,0,0,0,
620,5.166,1.866,0,0,0,3.3,
621,4.931,1.631,0,0,0,3.3,
622,4.624,1.324,0,0,0,3.3,
623,3.74158,1.01,0,0,0,2.73158,
624,0.686,0.686,0,0,0,0,
625,0.57,0.57,0,0,0,0,
626,0.522,0.522,0,0,0,0,
627,0.517,0.517,0,0,0,0,
628,0.516,0.516,0,0,0,0,
629,0.575,0.575,0,0,0,0,
630,0.805,0.805,0,0,0,0,
631,1.136,1.136,0,0,0,0,
632,1.061,1.061,0,0,0,0,
633,0.87,0.87,0,0,0,0,
634,0.87,0.87,0,0,0,0,
635,0.862,0.862,0,0,0,0,
636,0.831,0.831,0,0,0,0,
637,-0.108177,0.823,2.34346,0.931177,-1.36327,0,
638,-1.55935,0.809,2.493,2.36835,0,0,
639,0,0.848,0.42592,0.848,0.466711,0,
640,0,0.984,0.753488,0.984,0.282302,0,
641,0,1.308,0.0959567,1.308,1.28089,0,
642,1.695,1.695,0,0,0,0,
643,1.902,1.902,0,0,0,0,
644,5.166,1.866,0,0,0,3.3,
645,4.931,1.631,0,0,0,3.3,
646,4.624,1.324,0,0,0,3.3,
647,3.74158,1.01,0,0,0,2.73158,
648,0.68,0.68,0,0,0,0,
649,0.572,0.572,0,0,0,0,
650,0.534,0.534,0,0,0,0,
651,0.527,0.527,0,0,0,0,
652,0.522,0.522,0,0,0,0,
653,0.577,0.577,0,0,0,0,
