Time step,Grid total load,Grid net load,Strata 1 total load,Strata 2 total load,
399,1.616,-2.6689,-1.1585,-1.5104,
400,1.896,-0.66252,-0.2262,-0.43632,
401,2.544,0,0,0,
402,3.32,3.32,1.66,1.66,
403,3.734,3.734,1.867,1.867,
404,3.66,10.26,5.13,5.13,
405,3.192,9.792,4.896,4.896,
406,2.594,9.194,4.597,4.597,
407,2.014,7.606,3.73858,3.86742,
408,1.426,1.426,0.713,0.713,
409,1.226,1.226,0.613,0.613,
410,1.16,1.16,0.58,0.58,
411,1.164,1.164,0.582,0.582,
412,1.154,1.154,0.577,0.577,
413,1.262,1.262,0.631,0.631,
414,1.728,1.728,0.864,0.864,
415,2.344,2.344,1.172,1.172,
416,2.15,2.15,1.075,1.075,
417,1.734,0.529022,0.4367,0.0923222,
418,1.69,-3.67544,-1.6174,-2.05804,
419,1.632,-4.98786,-2.2221,-2.76576,
420,1.566,-5.58792,-2.5002,-3.08772,
421,1.558,-4.82588,-2.1508,-2.67508,
422,1.544,-4.21888,-1.8728,-2.34608,
423,1.616,-2.47018,-1.0673,-1.40288,
424,1.896,-0.62526,-0.2091,-0.41616,
425,2.544,0,0,0,
426,3.32,3.32,1.66,1.66,
427,3.734,3.734,1.867,1.867,
428,3.66,10.26,5.13,5.13,
429,3.192,9.792,4.896,4.896,
430,2.612,9.212,4.606,4.606,
431,2.042,7.634,3.75258,3.88142,
432,1.466,1.466,0.733,0.733,
433,1.26,1.26,0.63,0.63,
434,1.186,1.186,0.593,0.593,
435,1.172,1.172,0.586,0.586,
436,1.166,1.166,0.583,0.583,
437,1.284,1.284,0.642,0.642,
438,1.756,1.756,0.878,0.878,
439,2.382,2.382,1.191,1.191,
440,2.2,2.2,1.1,1.1,
441,1.794,-0.381036,0.0214667,-0.402502,
442,1.81,-1.38194,-0.5599,-0.82204,
443,1.78,-2.35586,-1.0081,-1.34776,
444,1.662,-5.21868,-2.3268,-2.89188,
445,1.646,-2.5768,-1.115,-1.4618,
446,1.618,-3.9089,-1.7275,-2.1814,
447,1.696,-0.73832,-0.2692,-0.46912,
448,1.968,-0.36696,-0.0876,-0.27936,
449,2.616,0,0,0,
450,3.39,3.39,1.695,1.695,
451,3.804,3.804,1.902,1.902,
452,3.732,10.332,5.166,5.166,
453,3.268,9.868,4.934,4.934,
454,2.682,9.282,4.641,4.641,
455,2.088,7.68,3.77558,3.90442,
456,1.478,1.478,0.739,0.739,
457,1.268,1.268,0.634,0.634,
458,1.204,1.204,0.602,0.602,
459,1.188,1.188,0.594,0.594,
460,1.184,1.184,0.592,0.592,
461,1.31,1.31,0.655,0.655,
462,1.786,1.786,0.893,0.893,
463,2.416,2.416,1.208,1.208,
464,2.236,2.236,1.118,1.118,
465,1.802,-0.454935,-0.00863333,-0.446302,
466,1.788,-3.52776,-1.5456,-1.98216,
467,1.744,-4.80134,-2.1319,-2.66944,
468,1.662,-5.42982,-2.4237,-3.00612,
469,1.646,-5.23468,-2.3348,-2.89988,
470,1.618,-4.36844,-1.9384,-2.43004,
471,1.696,-2.81246,-1.2211,-1.59136,
472,1.968,-0.61536,-0.2016,-0.41376,
473,2.616,0,0,0,
474,3.39,3.39,1.695,1.695,
475,3.804,3.804,1.902,1.902,
476,3.732,10.332,5.166,5.166,
477,3.262,9.862,4.931,4.931,
478,2.672,9.272,4.636,4.636,
479,2.072,7.664,3.76758,3.89642,
480,1.45,1.45,0.725,0.725,
481,1.256,1.256,0.628,0.628,
482,1.184,1.184,0.592,0.592,
483,1.174,1.174,0.587,0.587,
484,1.172,1.172,0.586,0.586,
485,1.284,1.284,0.642,0.642,
486,1.742,1.742,0.871,0.871,
487,2.358,2.358,1.179,1.179,
488,2.162,2.162,1.081,1.081,
489,1.718,-0.678151,-0.1146,-0.563551,
490,1.688,-3.73954,-1.6469,-2.09264,
491,1.634,-5.03554,-2.2439,-2.79164,
492,1.566,-5.43888,-2.4318,-3.00708,
493,1.558,-5.38478,-2.4073,-2.97748,
494,1.544,-4.50454,-2.0039,-2.50064,
495,1.616,-2.95456,-1.2896,-1.66496,
496,1.896,-0.78672,-0.2832,-0.50352,
497,2.544,0,0,0,
498,3.32,3.32,1.66,1.66,
499,3.734,3.734,1.867,1.867,
500,3.66,10.26,5.13,5.13,
501,3.192,9.792,4.896,4.896,
502,2.59,9.19,4.595,4.595,
503,2.008,7.6,3.73558,3.86442,
504,1.42,1.42,0.71,0.71,
505,1.214,1.214,0.607,0.607,
506,1.156,1.156,0.578,0.578,
507,1.142,1.142,0.571,0.571,
508,1.13,1.13,0.565,0.565,
509,1.256,1.256,0.628,0.628,
510,1.714,1.714,0.857,0.857,
511,2.332,2.332,1.166,1.166,
512,2.142,2.142,1.071,1.071,
513,1.69,-0.839285,-0.1933,-0.645985,
514,1.654,-3.83564,-1.6924,-2.14324,
515,1.618,-5.18816,-2.3146,-2.87356,
516,1.566,-5.71212,-2.5572,-3.15492,
517,1.558,-5.44688,-2.4358,-3.01108,
518,1.544,-4.34308,-1.9298,-2.41328,
519,1.616,-3.02908,-1.3238,-1.70528,
520,1.896,-0.74946,-0.2661,-0.48336,
521,2.544,0,0,0,
522,3.32,3.32,1.66,1.66,
523,3.734,3.734,1.867,1.867,
524,3.66,10.26,5.13,5.13,
525,3.192,9.792,4.896,4.896,
526,2.59,9.19,4.595,4.595,
527,1.988,7.58,3.72558,3.85442,
528,1.366,1.366,0.683,0.683,
529,1.158,1.158,0.579,0.579,
530,1.088,1.088,0.544,0.544,
531,1.078,1.078,0.539,0.539,
532,1.062,1.062,0.531,0.531,
533,1.176,1.176,0.588,0.588,
534,1.612,1.612,0.806,0.806,
535,2.248,2.248,1.124,1.124,
536,2.088,2.088,1.044,1.044,
537,1.672,0.395837,0.372767,0.0230699,
538,1.682,-1.9819,-0.8405,-1.1414,
539,1.67,-2.27956,-0.9776,-1.30196,
540,1.596,-2.2542,-0.969,-1.2852,
541,1.558,-5.5214,-2.47,-3.0514,
542,1.544,-4.56664,-2.0324,-2.53424,
543,1.616,-2.84278,-1.2383,-1.60448,
544,1.896,-0.84882,-0.3117,-0.53712,
545,2.544,-2.22045e-016,-2.22045e-016,0,
546,3.32,3.32,1.66,1.66,
547,3.734,3.734,1.867,1.867,
548,3.664,10.264,5.132,5.132,
549,3.21,9.81,4.905,4.905,
550,2.636,9.236,4.618,4.618,
551,2.054,7.646,3.75858,3.88742,
552,1.456,1.456,0.728,0.728,
553,1.25,1.25,0.625,0.625,
554,1.192,1.192,0.596,0.596,
555,1.176,1.176,0.588,0.588,
556,1.156,1.156,0.578,0.578,
557,1.278,1.278,0.639,0.639,
558,1.742,1.742,0.871,0.871,
559,2.346,2.346,1.173,1.173,
560,2.142,2.142,1.071,1.071,
561,1.698,-0.946959,-0.2425,-0.704459,
562,1.678,-3.63776,-1.6006,-2.03716,
563,1.636,-5.10806,-2.2771,-2.83096,
564,1.566,-5.65002,-2.5287,-3.12132,
565,1.558,-5.44688,-2.4358,-3.01108,
566,1.544,-4.33066,-1.9241,-2.40656,
567,1.616,-2.9173,-1.2725,-1.6448,
568,1.896,-0.94818,-0.3573,-0.59088,
569,2.544,0,0,0,
570,3.32,3.32,1.66,1.66,
571,3.734,3.734,1.867,1.867,
572,3.66,10.26,5.13,5.13,
573,3.192,9.792,4.896,4.896,
574,2.608,9.208,4.604,4.604,
575,2.02,7.612,3.74158,3.87042,
576,1.422,1.422,0.711,0.711,
577,1.232,1.232,0.616,0.616,
578,1.152,1.152,0.576,0.576,
579,1.136,1.136,0.568,0.568,
580,1.126,1.126,0.563,0.563,
581,1.254,1.254,0.627,0.627,
582,1.686,1.686,0.843,0.843,
583,2.298,2.298,1.149,1.149,
584,2.098,2.098,1.049,1.049,
585,1.652,-1.28122,-0.397867,-0.883349,
586,1.618,-3.93374,-1.7389,-2.19484,
587,1.618,-4.92734,-2.1949,-2.73244,
588,1.566,-5.65002,-2.5287,-3.12132,
589,1.558,-5.5835,-2.4985,-3.085,
590,1.544,-4.46728,-1.9868,-2.48048,
591,1.616,-2.80552,-1.2212,-1.58432,
592,1.896,-0.91092,-0.3402,-0.57072,
593,2.544,0,0,0,
594,3.32,3.32,1.66,1.66,
595,3.734,3.734,1.867,1.867,
596,3.66,10.26,5.13,5.13,
597,3.192,9.792,4.896,4.896,
598,2.59,9.19,4.595,4.595,
599,1.988,7.58,3.72558,3.85442,
600,1.384,1.384,0.692,0.692,
601,1.17,1.17,0.585,0.585,
602,1.11,1.11,0.555,0.555,
603,1.106,1.106,0.553,0.553,
604,1.098,1.098,0.549,0.549,
605,1.206,1.206,0.603,0.603,
606,1.66,1.66,0.83,0.83,
607,2.298,2.298,1.149,1.149,
608,2.134,2.134,1.067,1.067,
609,1.714,-1.23293,-0.3732,-0.859733,
610,1.702,-3.80006,-1.6741,-2.12596,
611,1.724,-4.89586,-2.1761,-2.71976,
612,1.662,-5.55402,-2.4807,-3.07332,
613,1.646,-4.70062,-2.0897,-2.61092,
614,1.618,-4.48022,-1.9897,-2.49052,
615,1.696,-3.07328,-1.3408,-1.73248,
616,1.968,-0.66504,-0.2244,-0.44064,
617,2.616,0,0,0,
618,3.39,3.39,1.695,1.695,
619,3.804,3.804,1.902,1.902,
620,3.732,10.332,5.166,5.166,
621,3.262,9.862,4.931,4.931,
622,2.648,9.248,4.624,4.624,
623,2.02,7.612,3.74158,3.87042,
624,1.372,1.372,0.686,0.686,
625,1.14,1.14,0.57,0.57,
626,1.044,1.044,0.522,0.522,
627,1.034,1.034,0.517,0.517,
628,1.032,1.032,0.516,0.516,
629,1.15,1.15,0.575,0.575,
630,1.61,1.61,0.805,0.805,
631,2.272,2.272,1.136,1.136,
632,2.122,2.122,1.061,1.061,
633,1.74,0.921927,0.6203,0.301627,
634,1.74,-1.9239,-0.8115,-1.1124,
635,1.724,-2.15104,-0.9164,-1.23464,
636,1.662,-4.7343,-2.1045,-2.6298,
637,1.646,-2.6389,-1.1435,-1.4954,
638,1.618,-1.9217,-0.8155,-1.1062,
639,1.696,0,0,0,
640,1.968,-1.11022e-016,0,-1.11022e-016,
641,2.616,0,0,0,
642,3.39,3.39,1.695,1.695,
643,3.804,3.804,1.902,1.902,
644,3.732,10.332,5.166,5.166,
645,3.262,9.862,4.931,4.931,
646,2.648,9.248,4.624,4.624,
647,2.02,7.612,3.74158,3.87042,
648,1.36,1.36,0.68,0.68,
649,1.144,1.144,0.572,0.572,
650,1.068,1.068,0.534,0.534,
651,1.054,1.054,0.527,0.527,
652,1.044,1.044,0.522,0.522,
653,1.154,1.154,0.577,0.577,
654,1.59,1.59,0.795,0.795,
655,2.224,2.224,1.112,1.112,
656,2.058,2.058,1.029,1.029,
657,1.666,1.666,0.833,0.833,
658,1.67,1.05451,0.835,0.219506,
659,1.644,-1.07563,-0.412511,-0.66312,
660,1.566,-3.29022,-1.4457,-1.84452,
661,1.558,-1.22408,-0.4978,-0.72628,
662,1.544,-2.21926,-0.9551,-1.26416,
663,1.616,-0.9301,-0.3605,-0.5696,
664,1.896,-0.41412,-0.1122,-0.30192,
665,2.544,0,0,0,
666,3.32,3.32,1.66,1.66,
667,3.734,3.734,1.867,1.867,
668,3.66,10.26,5.13,5.13,
