Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
78,0.837,0.837,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
79,1.146,1.146,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
80,1.047,1.047,106,47.6639,58.3361,0.550262,171.617,0.343235,0,0,-0.343235,1.43427,0.343235,0,0,5.08717,84.7862,0,0,0,
81,0.828,0.828,271,160.147,110.853,0.613906,165.127,0.330254,0,0,-0.330254,1.09104,0.330254,0.240264,0,5.36348,89.3914,0,0,0,
82,0.82,0.82,400,244.627,155.373,0.623494,96.8967,0.193793,0,0,-0.193793,0.760785,0.193793,0.471442,0,5.52562,92.0937,0,0,0,
83,0.809,0.809,488,301.227,186.773,0.626174,115.776,0.231552,0,0,-0.231552,0.566992,0.231552,0.607098,0,5.71935,95.3225,0,0,0,
84,0.783,0.783,525,318.265,206.735,0.620992,129.657,0.259314,0,0,-0.259314,0.33544,0.259314,0.769184,0,5.93631,98.9385,0,0,0,
85,0.779,0.779,491,261.95,229.05,0.587812,154.373,0.308746,0.23262,0.220989,-0.0761262,0.0761262,0.0761262,0.950704,0,6,100,0,0,0,
86,0.772,0.772,435,224.749,210.251,0.580262,143.912,0.287825,0.287825,0.273433,0,0,0,1.00399,0,6,100,0,0,0,
87,0.808,0.808,308,116.87,191.13,0.518225,146.132,0.292265,0.850526,0.808,0.558262,0,0,1.00399,0.558262,5.33275,88.8792,0,0,0,
88,0.948,0.948,174,44.821,129.179,0.458013,106.724,0.213448,0.659178,0.626219,0.44573,0.797517,0,0.44573,0.44573,4.8,80,0,0,0,
89,1.272,1.272,1,0.000740131,0.99926,0.00822368,0.906719,0.00181344,0.00181344,0.00172277,0,1.43427,0,0,0,4.8,80,0,0,0,
90,1.66,1.66,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
91,1.867,1.867,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
92,1.83,1.83,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
93,1.596,1.596,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
94,1.295,1.295,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
95,0.995,0.995,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
96,0.697,0.697,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
97,0.596,0.596,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
98,0.562,0.562,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
99,0.56,0.56,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
100,0.555,0.555,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
101,0.616,0.616,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
102,0.848,0.848,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
103,1.171,1.171,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
104,1.078,1.078,104,44.7101,59.2899,0.54135,166.807,0.333613,0,0,-0.333613,1.43427,0.333613,0,0,5.07912,84.652,0,0,0,
105,0.87,0.87,266,150.653,115.347,0.602653,166.412,0.332824,0,0,-0.332824,1.10066,0.332824,0.233529,0,5.35758,89.293,0,0,0,
106,0.864,0.864,394,232.63,161.37,0.613669,102.875,0.205749,0,0,-0.205749,0.767837,0.205749,0.466506,0,5.52972,92.1621,0,0,0,
107,0.862,0.862,488,300.324,187.676,0.625302,116.565,0.233131,0,0,-0.233131,0.562087,0.233131,0.610531,0,5.72478,95.4129,0,0,0,
108,0.831,0.831,497,263.927,233.073,0.586706,157.444,0.314889,0,0,-0.314889,0.328956,0.314889,0.773722,0,5.98823,99.8038,0,0,0,
109,0.823,0.823,525,324.805,200.195,0.626838,123.909,0.247819,0.233751,0.222063,-0.014068,0.014068,0.014068,0.994144,0,6,100,0,0,0,
110,0.809,0.809,435,222.713,212.287,0.578167,145.92,0.291841,0.291841,0.277249,0,0,0,1.00399,0,6,100,0,0,0,
111,0.848,0.848,299,102.215,196.785,0.500483,154.4,0.3088,0.892632,0.848,0.583832,0,0,1.00399,0.583832,5.30219,88.3698,0,0,0,
112,0.984,0.984,169,38.3014,130.699,0.440993,109.807,0.219615,0.639775,0.607786,0.42016,0.834045,0,0.42016,0.42016,4.8,80,0,0,0,
113,1.308,1.308,2,0.0028845,1.99712,0.016025,1.81293,0.00362585,0.00362585,0.00344456,0,1.43427,0,0,0,4.8,80,0,0,0,
114,1.695,1.695,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
115,1.902,1.902,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
116,1.866,1.866,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
117,1.631,1.631,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
118,1.324,1.324,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
119,1.014,1.014,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
120,0.708,0.708,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
121,0.607,0.607,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
122,0.572,0.572,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
123,0.563,0.563,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
124,0.565,0.565,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
125,0.627,0.627,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
126,0.86,0.86,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
127,1.177,1.177,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
